Time,AE Data,EC Data,Mech Data,Output
0.5262,26606.2,0.000180906,0.070865007,0
1.505116773,29595.77495,9.22E-05,0.07125534,0
2.505170213,26387.19149,6.07E-05,0.072094027,0
3.506610169,25949.00424,4.61E-05,0.073146646,0
4.506282051,26454.70085,3.75E-05,0.073704201,0
5.502686567,26304.24307,3.13E-05,0.074154571,0
6.50440678,27095.67797,2.70E-05,0.072120074,0
7.506595745,28813.06383,2.39E-05,0.072047398,0
8.507021277,26255.44681,2.15E-05,0.072817278,0
9.505884861,25626.58849,1.94E-05,0.073759524,0
10.5038806,26405.50107,1.79E-05,0.071853855,0
11.5040552,26300.29724,1.65E-05,0.070147699,0
12.50216274,27389.59315,1.55E-05,0.069708134,0
13.50687345,29084.4665,1.66E-05,0.078594368,0
14.5079602,26449.67662,1.56E-05,0.07996955,0
15.50781095,26091.49254,1.48E-05,0.08081631,0
16.504375,26371.65,1.40E-05,0.080933464,0
17.50386139,26510.69307,1.33E-05,0.079604915,0
18.50631841,27613.70647,1.27E-05,0.078329137,0
19.50621891,28785.54726,1.22E-05,0.079063718,0
20.50473815,26498.82793,1.24E-05,0.080128294,0
21.50466501,26324.98759,1.14E-05,0.081407008,0
22.50669975,26818.73449,1.10E-05,0.081169841,0
23.504925,26720.175,1.04E-05,0.079931446,0
24.50364764,27795.68238,1.02E-05,0.080821878,0
25.50692308,28940.19851,9.73E-06,0.082217107,0
26.50761194,26258.9801,9.47E-06,0.083944944,0
27.5070398,26049.35323,9.21E-06,0.085086975,0
28.50405,26479.65,8.86E-06,0.084323614,0
29.50506173,26457.08642,8.63E-06,0.083139491,0
30.506775,28003.35,8.38E-06,0.081892199,0
31.50405473,29149.05473,8.24E-06,0.082729185,0
32.50393035,26495.87065,7.96E-06,0.083926182,0
33.50493797,26425.1861,7.79E-06,0.084595952,0
34.50438903,26741.79551,7.64E-06,0.084691434,0
35.50340796,26605.199,7.43E-06,0.082941707,0
36.50473945,28168.68486,7.31E-06,0.082271877,0
